epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
63,9291.83,0.14045,0.20976,0.0472,0.86886,0.80749,0.7936,0.49177,0.54573,0.38204,0.38127,3.23E-05,3.23E-05,3.23E-05
23,9208.49,0.20536,0.2647,0.06804,0.91924,0.90827,0.89681,0.67469,0.31561,0.29735,0.17686,8.86E-05,8.86E-05,8.86E-05
62,8888.06,0.14209,0.21242,0.04789,0.86485,0.80103,0.78706,0.48577,0.55468,0.3822,0.39106,3.37E-05,3.37E-05,3.37E-05
22,8807.63,0.20935,0.26852,0.06968,0.92029,0.9031,0.89117,0.67164,0.32456,0.29463,0.19039,8.96E-05,8.96E-05,8.96E-05
61,8485.51,0.14341,0.21299,0.04826,0.8548,0.79613,0.78121,0.47978,0.56503,0.38304,0.40219,3.52E-05,3.52E-05,3.52E-05
21,8407.06,0.21363,0.27056,0.071,0.91944,0.90377,0.89821,0.67833,0.31297,0.2989,0.17612,9.05E-05,9.05E-05,9.05E-05
60,8082.34,0.14341,0.21301,0.04826,0.85503,0.7917,0.77659,0.47341,0.57663,0.3862,0.41575,3.67E-05,3.67E-05,3.67E-05
20,8006.78,0.21417,0.27058,0.07101,0.91883,0.90408,0.89458,0.6702,0.31484,0.30487,0.18607,9.14E-05,9.14E-05,9.14E-05
59,7678.76,0.14592,0.21563,0.04909,0.8459,0.7851,0.76795,0.4647,0.59086,0.39153,0.43494,3.82E-05,3.82E-05,3.82E-05
19,7605.7,0.21898,0.27444,0.07288,0.91992,0.90555,0.89757,0.6767,0.31017,0.30537,0.17549,9.23E-05,9.23E-05,9.23E-05
58,7276.39,0.14845,0.21889,0.04971,0.84079,0.77799,0.76299,0.45379,0.60555,0.39831,0.45263,3.97E-05,3.97E-05,3.97E-05
18,7204.82,0.22187,0.27659,0.07316,0.92039,0.90676,0.89624,0.67872,0.30868,0.29964,0.17524,9.31E-05,9.31E-05,9.31E-05
57,6872.46,0.14967,0.21927,0.05002,0.83311,0.76744,0.75531,0.43958,0.62274,0.40673,0.47404,4.12E-05,4.12E-05,4.12E-05
17,6803.81,0.22528,0.2787,0.07445,0.92418,0.91693,0.91346,0.68733,0.30232,0.29363,0.16205,9.39E-05,9.39E-05,9.39E-05
56,6470.87,0.15016,0.21952,0.0503,0.82669,0.76486,0.74974,0.42467,0.64647,0.42466,0.49969,4.28E-05,4.28E-05,4.28E-05
16,6403.54,0.22884,0.28133,0.07584,0.91223,0.90138,0.88509,0.66941,0.31447,0.30098,0.18689,9.46E-05,9.46E-05,9.46E-05
55,6071.01,0.1532,0.22315,0.05138,0.8177,0.7627,0.74536,0.40985,0.66707,0.44514,0.52215,4.43E-05,4.43E-05,4.43E-05
15,6003.35,0.23347,0.28418,0.07752,0.92364,0.90461,0.91201,0.68539,0.30562,0.29444,0.17142,9.53E-05,9.53E-05,9.53E-05
54,5669.93,0.15378,0.22357,0.05126,0.81884,0.7584,0.74301,0.40151,0.67889,0.46432,0.5385,4.58E-05,4.58E-05,4.58E-05
14,5602.85,0.23553,0.28563,0.07766,0.92169,0.90289,0.90132,0.68232,0.30388,0.30119,0.17968,9.59E-05,9.59E-05,9.59E-05
53,5269.86,0.15441,0.22441,0.05158,0.81361,0.76055,0.74263,0.39623,0.68252,0.49221,0.541,4.74E-05,4.74E-05,4.74E-05
13,5202.06,0.23991,0.28815,0.07933,0.93862,0.91473,0.92608,0.70279,0.29389,0.28844,0.15577,9.65E-05,9.65E-05,9.65E-05
52,4867.09,0.15878,0.22794,0.05268,0.80502,0.76357,0.74234,0.39201,0.68313,0.52078,0.53778,4.89E-05,4.89E-05,4.89E-05
